location,landmark_name,safety_type,operating_hours,is_24_7,last_verified
LRT-2 Betty Go-Belmonte Station,Lunch Box,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Savemore,Well-Lit Zone,Unknown,No,2026-07
Anonas Street,Burger Machine,High Foot Traffic,Unknown,No,2026-07
Anonas Street,K Plaza Supermarket,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Partners Pares-Mami House,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Lugawan ni Bro,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Gateway Underground Parking,Well-Lit Zone,Unknown,No,2026-07
Anonas Street,Ala Eh Bulalo,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Chowking,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Uncle John's,24/7 Store,24/7,Yes,2026-07
Anonas Street,Ilocos Empanada,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Highmart Supermarket,Well-Lit Zone,07:00-22:00,No,2026-07
Morayta Street,Jollibee,High Foot Traffic,Unknown,No,2026-07
Anonas Street,Chowking,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,HM Transport Cubao,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Daet Express Cubao,High Foot Traffic,Unknown,No,2026-07
Anonas Street,Amber,High Foot Traffic,Unknown,No,2026-07
Anonas Street,Teriyaki Boy,High Foot Traffic,Unknown,No,2026-07
Anonas Street,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Subway,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Max's,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Jollibee,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Razon's,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Yellow Cab Pizza,High Foot Traffic,Unknown,No,2026-07
España Boulevard,7-Eleven,24/7 Store,24/7,Yes,2026-07
España Boulevard,SM Hypermarket,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,D' Amburger Gastro Pub,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Red Buffalo Wings & Pizza,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Lola Nena's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
Anonas Street,Manang's Chicken,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Mercury Drug,Well-Lit Zone,Unknown,No,2026-07
LRT-2 V. Mapa Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
Recto Legarda,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Mercury Drug,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Aling Banang's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Andok's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Melvi Pharmacy,Well-Lit Zone,Unknown,No,2026-07
Anonas Street,Ersao,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Betty Go-Belmonte Station,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,abandoned building,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,The Sandwich Guy,24/7 Store,24/7,Yes,2026-07
Anonas Street,Uncle John's,24/7 Store,24/7,Yes,2026-07
Anonas Street,Wellcome Supermarket,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Andok's,High Foot Traffic,Unknown,No,2026-07
España Boulevard,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Uncle John's,24/7 Store,24/7,Yes,2026-07
LRT-2 J. Ruiz Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Planet Drugstore,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Tapa King,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Ortigas/Greenhills,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Mercury Drug,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Isetann Supermarket,Well-Lit Zone,Mo-Su 09:00-21:00,No,2026-07
LRT-2 Araneta-Cubao Station,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Yellow Cab Pizza,High Foot Traffic,Unknown,No,2026-07
España Boulevard,7-Eleven,24/7 Store,24/7,Yes,2026-07
Hipodromo,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
España Boulevard,7-Eleven,24/7 Store,24/7,Yes,2026-07
España Boulevard,Balic-Balic Turning Point,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Dunkin' Donuts,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Generika,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,Andok's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,The Marketplace,Well-Lit Zone,08:00-22:00,No,2026-07
